"a_o","edad","zona","genero","etnia","discapacidad","escolaridad"
"2022","20","Urbana","Femenino","Mestizo","Ninguna","Profesional"
"2022","20","Urbana","Masculino","Mestizo","Ninguna","Profesional"
"2022","20","Urbana","Femenino","Mestizo","Ninguna","Profesional"
"2022","26","Urbana","Femenino","Mestizo","Ninguna","Profesional"
"2022","16","Urbana","Femenino","Mestizo","Ninguna","Primaria"
"2022","20","Urbana","Femenino","Mestizo","Ninguna","Técnico"
"2022","16","Urbana","Masculino","Mestizo","Ninguna","Profesional"
"2022","26","Rural","Femenino","Mestizo","Ninguna","Ninguno"
"2022","25","Urbana","Masculino","Mestizo","Ninguna","Ninguno"
"2022","25","Rural","Masculino","Mestizo","Ninguna","Ninguno"
"2022","25","Urbana","Femenino","Mestizo","Ninguna","Ninguno"
"2022","26","Urbana","Masculino","Mestizo","Ninguna","Ninguno"
"2022","16","Urbana","Femenino","Mestizo","Ninguna","Ninguno"
"2022","14","Urbana","Femenino","Mestizo","Ninguna","Ninguno"
"2022","15","Urbana","Masculino","Mestizo","Ninguna","Ninguno"
"2022","17","Urbana","Masculino","Mestizo","Ninguna","Ninguno"
"2022","17","Urbana","Masculino","Mestizo","Ninguna","Ninguno"
"2022","14","Urbana","Masculino","Mestizo","Ninguna","Ninguno"
"2022","15","Urbana","Masculino","Mestizo","Ninguna","Ninguno"
"2022","15","Urbana","Femenino","Mestizo","Ninguna","Ninguno"
"2022","16","Urbana","Masculino","Mestizo","Ninguna","Ninguno"
"2022","14","Urbana","Masculino","Mestizo","Ninguna","Ninguno"
"2022","15","Urbana","Femenino","Mestizo","Ninguna","Ninguno"
"2022","15","Urbana","Femenino","Mestizo","Ninguna","Ninguno"
"2022","18","Urbana","Masculino","Mestizo","Ninguna","Bachiller"
"2022","17","Urbana","Femenino","Mestizo","Ninguna","Bachiller"
"2022","20","Urbana","Femenino","Mestizo","Ninguna","Bachiller"
"2022","16","Urbana","Masculino","Mestizo","Ninguna","Bachiller"
"2022","24","Urbana","Femenino","Mestizo","Ninguna","Bachiller"
"2022","24","Urbana","Femenino","Mestizo","Ninguna","Bachiller"
"2022","17","Urbana","Femenino","Mestizo","Ninguna","Bachiller"
"2022","24","Urbana","Femenino","Mestizo","Ninguna","Bachiller"
"2022","26","Urbana","Femenino","Mestizo","Ninguna","Bachiller"
"2022","19","Urbana","Femenino","Mestizo","Ninguna","Bachiller"
"2022","20","Urbana","Femenino","Mestizo","Ninguna","Técnico"
"2022","16","Urbana","Masculino","Mestizo","Ninguna","Técnico"
"2022","26","Urbana","Masculino","Mestizo","Ninguna","Tecnólogo"
"2022","18","Urbana","Femenino","Mestizo","Ninguna","Bachiller"
"2022","17","Urbana","Masculino","Mestizo","Ninguna","Bachiller"
"2022","17","Urbana","Masculino","Mestizo","Ninguna","Bachiller"
"2022","18","Urbana","Masculino","Mestizo","Ninguna","Bachiller"
"2022","16","Urbana","Femenino","Mestizo","Ninguna","Bachiller"
"2022","16","Urbana","Masculino","Mestizo","Ninguna","Bachiller"
"2022","16","Urbana","Masculino","Mestizo","Ninguna","Bachiller"
"2022","17","Urbana","Masculino","Mestizo","Ninguna","Bachiller"
"2022","17","Urbana","Masculino","Mestizo","Ninguna","Bachiller"
"2022","14","Urbana","Femenino","Mestizo","Ninguna","Bachiller"
"2022","17","Urbana","Masculino","Mestizo","Ninguna","Bachiller"
"2022","20","Urbana","Femenino","Mestizo","Ninguna","Bachiller"
"2022","17","Urbana","Femenino","Mestizo","Ninguna","Bachiller"
"2022","17","Urbana","Femenino","Mestizo","Ninguna","Bachiller"
"2022","17","Urbana","Femenino","Mestizo","Ninguna","Bachiller"
"2022","18","Urbana","Masculino","Mestizo","Ninguna","Bachiller"
"2022","17","Urbana","Masculino","Mestizo","Ninguna","Bachiller"
"2022","18","Urbana","Masculino","Mestizo","Ninguna","Bachiller"
"2022","24","Urbana","Masculino","Mestizo","Ninguna","Bachiller"
"2022","22","Urbana","Femenino","Mestizo","Ninguna","Bachiller"
"2022","15","Rural","Masculino","Mestizo","Ninguna","Bachiller"
